scaled_score,raw_score,min_age,max_age,sub_domain,for
11,69,152,155,com,parent
11,70,152,155,com,parent
12,71,152,155,com,parent
13,72,152,155,com,parent
1,0,156,167,com,parent
1,1,156,167,com,parent
1,2,156,167,com,parent
1,3,156,167,com,parent
1,4,156,167,com,parent
1,5,156,167,com,parent
1,6,156,167,com,parent
1,7,156,167,com,parent
1,8,156,167,com,parent
1,9,156,167,com,parent
1,10,156,167,com,parent
1,11,156,167,com,parent
1,12,156,167,com,parent
1,13,156,167,com,parent
1,14,156,167,com,parent
1,15,156,167,com,parent
1,16,156,167,com,parent
1,17,156,167,com,parent
1,18,156,167,com,parent
1,19,156,167,com,parent
1,20,156,167,com,parent
1,21,156,167,com,parent
1,22,156,167,com,parent
1,23,156,167,com,parent
1,24,156,167,com,parent
1,25,156,167,com,parent
1,26,156,167,com,parent
1,27,156,167,com,parent
1,28,156,167,com,parent
1,29,156,167,com,parent
1,30,156,167,com,parent
1,31,156,167,com,parent
1,32,156,167,com,parent
1,33,156,167,com,parent
1,34,156,167,com,parent
1,35,156,167,com,parent
1,36,156,167,com,parent
2,37,156,167,com,parent
2,38,156,167,com,parent
2,39,156,167,com,parent
2,40,156,167,com,parent
3,41,156,167,com,parent
3,42,156,167,com,parent
3,43,156,167,com,parent
3,44,156,167,com,parent
4,45,156,167,com,parent
4,46,156,167,com,parent
4,47,156,167,com,parent
5,48,156,167,com,parent
5,49,156,167,com,parent
5,50,156,167,com,parent
5,51,156,167,com,parent
6,52,156,167,com,parent
6,53,156,167,com,parent
6,54,156,167,com,parent
7,55,156,167,com,parent
7,56,156,167,com,parent
7,57,156,167,com,parent
7,58,156,167,com,parent
8,59,156,167,com,parent
8,60,156,167,com,parent
8,61,156,167,com,parent
8,62,156,167,com,parent
9,63,156,167,com,parent
9,64,156,167,com,parent
9,65,156,167,com,parent
10,66,156,167,com,parent
10,67,156,167,com,parent
10,68,156,167,com,parent
11,69,156,167,com,parent
11,70,156,167,com,parent
12,71,156,167,com,parent
12,72,156,167,com,parent
1,0,168,179,com,parent
1,1,168,179,com,parent
1,2,168,179,com,parent
1,3,168,179,com,parent
1,4,168,179,com,parent
1,5,168,179,com,parent
1,6,168,179,com,parent
1,7,168,179,com,parent
1,8,168,179,com,parent
1,9,168,179,com,parent
1,10,168,179,com,parent
1,11,168,179,com,parent
1,12,168,179,com,parent
1,13,168,179,com,parent
1,14,168,179,com,parent
1,15,168,179,com,parent
1,16,168,179,com,parent
1,17,168,179,com,parent
1,18,168,179,com,parent
1,19,168,179,com,parent
1,20,168,179,com,parent
1,21,168,179,com,parent
1,22,168,179,com,parent
1,23,168,179,com,parent
1,24,168,179,com,parent
1,25,168,179,com,parent
1,26,168,179,com,parent
1,27,168,179,com,parent
1,28,168,179,com,parent
1,29,168,179,com,parent
1,30,168,179,com,parent
1,31,168,179,com,parent
1,32,168,179,com,parent
1,33,168,179,com,parent
1,34,168,179,com,parent
1,35,168,179,com,parent
1,36,168,179,com,parent
1,37,168,179,com,parent
2,38,168,179,com,parent
2,39,168,179,com,parent
2,40,168,179,com,parent
2,41,168,179,com,parent
3,42,168,179,com,parent
3,43,168,179,com,parent
3,44,168,179,com,parent
4,45,168,179,com,parent
4,46,168,179,com,parent
4,47,168,179,com,parent
4,48,168,179,com,parent
5,49,168,179,com,parent
5,50,168,179,com,parent
5,51,168,179,com,parent
6,52,168,179,com,parent
6,53,168,179,com,parent
6,54,168,179,com,parent
6,55,168,179,com,parent
7,56,168,179,com,parent
7,57,168,179,com,parent
7,58,168,179,com,parent
7,59,168,179,com,parent
8,60,168,179,com,parent
8,61,168,179,com,parent
8,62,168,179,com,parent
9,63,168,179,com,parent
9,64,168,179,com,parent
9,65,168,179,com,parent
9,66,168,179,com,parent
10,67,168,179,com,parent
10,68,168,179,com,parent
10,69,168,179,com,parent
11,70,168,179,com,parent
12,71,168,179,com,parent
12,72,168,179,com,parent
1,0,180,191,com,parent
1,1,180,191,com,parent
1,2,180,191,com,parent
1,3,180,191,com,parent
1,4,180,191,com,parent
1,5,180,191,com,parent
1,6,180,191,com,parent
1,7,180,191,com,parent
1,8,180,191,com,parent
1,9,180,191,com,parent
1,10,180,191,com,parent
1,11,180,191,com,parent
1,12,180,191,com,parent
1,13,180,191,com,parent
1,14,180,191,com,parent
1,15,180,191,com,parent
1,16,180,191,com,parent
1,17,180,191,com,parent
1,18,180,191,com,parent
1,19,180,191,com,parent
1,20,180,191,com,parent
1,21,180,191,com,parent
1,22,180,191,com,parent
1,23,180,191,com,parent
1,24,180,191,com,parent
1,25,180,191,com,parent
1,26,180,191,com,parent
1,27,180,191,com,parent
1,28,180,191,com,parent
1,29,180,191,com,parent
1,30,180,191,com,parent
1,31,180,191,com,parent
1,32,180,191,com,parent
1,33,180,191,com,parent
1,34,180,191,com,parent
1,35,180,191,com,parent
1,36,180,191,com,parent
1,37,180,191,com,parent
1,38,180,191,com,parent
2,39,180,191,com,parent
2,40,180,191,com,parent
2,41,180,191,com,parent
2,42,180,191,com,parent
3,43,180,191,com,parent
3,44,180,191,com,parent
3,45,180,191,com,parent
4,46,180,191,com,parent
4,47,180,191,com,parent
4,48,180,191,com,parent
4,49,180,191,com,parent
5,50,180,191,com,parent
5,51,180,191,com,parent
5,52,180,191,com,parent
6,53,180,191,com,parent
6,54,180,191,com,parent
6,55,180,191,com,parent
6,56,180,191,com,parent
7,57,180,191,com,parent
7,58,180,191,com,parent
7,59,180,191,com,parent
8,60,180,191,com,parent
8,61,180,191,com,parent
8,62,180,191,com,parent
8,63,180,191,com,parent
9,64,180,191,com,parent
9,65,180,191,com,parent
9,66,180,191,com,parent
10,67,180,191,com,parent
10,68,180,191,com,parent
10,69,180,191,com,parent
11,70,180,191,com,parent
11,71,180,191,com,parent
12,72,180,191,com,parent
1,0,192,203,com,parent
1,1,192,203,com,parent
1,2,192,203,com,parent
1,3,192,203,com,parent
1,4,192,203,com,parent
1,5,192,203,com,parent
1,6,192,203,com,parent
1,7,192,203,com,parent
1,8,192,203,com,parent
1,9,192,203,com,parent
1,10,192,203,com,parent
1,11,192,203,com,parent
1,12,192,203,com,parent
1,13,192,203,com,parent
1,14,192,203,com,parent
1,15,192,203,com,parent
1,16,192,203,com,parent
1,17,192,203,com,parent
1,18,192,203,com,parent
1,19,192,203,com,parent
1,20,192,203,com,parent
1,21,192,203,com,parent
1,22,192,203,com,parent
1,23,192,203,com,parent
1,24,192,203,com,parent
1,25,192,203,com,parent
1,26,192,203,com,parent
1,27,192,203,com,parent
1,28,192,203,com,parent
1,29,192,203,com,parent
1,30,192,203,com,parent
1,31,192,203,com,parent
1,32,192,203,com,parent
1,33,192,203,com,parent
1,34,192,203,com,parent
1,35,192,203,com,parent
1,36,192,203,com,parent
1,37,192,203,com,parent
1,38,192,203,com,parent
1,39,192,203,com,parent
2,40,192,203,com,parent
2,41,192,203,com,parent
2,42,192,203,com,parent
3,43,192,203,com,parent
3,44,192,203,com,parent
3,45,192,203,com,parent
3,46,192,203,com,parent
4,47,192,203,com,parent
4,48,192,203,com,parent
4,49,192,203,com,parent
5,50,192,203,com,parent
5,51,192,203,com,parent
5,52,192,203,com,parent
5,53,192,203,com,parent
6,54,192,203,com,parent
6,55,192,203,com,parent
6,56,192,203,com,parent
6,57,192,203,com,parent
7,58,192,203,com,parent
7,59,192,203,com,parent
7,60,192,203,com,parent
8,61,192,203,com,parent
8,62,192,203,com,parent
8,63,192,203,com,parent
8,64,192,203,com,parent
9,65,192,203,com,parent
9,66,192,203,com,parent
9,67,192,203,com,parent
10,68,192,203,com,parent
10,69,192,203,com,parent
10,70,192,203,com,parent
11,71,192,203,com,parent
11,72,192,203,com,parent
1,0,204,252,com,parent
1,1,204,252,com,parent
1,2,204,252,com,parent
1,3,204,252,com,parent
1,4,204,252,com,parent
1,5,204,252,com,parent
1,6,204,252,com,parent
1,7,204,252,com,parent
1,8,204,252,com,parent
1,9,204,252,com,parent
1,10,204,252,com,parent
1,11,204,252,com,parent
1,12,204,252,com,parent
1,13,204,252,com,parent
1,14,204,252,com,parent
1,15,204,252,com,parent
1,16,204,252,com,parent
1,17,204,252,com,parent
1,18,204,252,com,parent
1,19,204,252,com,parent
1,20,204,252,com,parent
1,21,204,252,com,parent
1,22,204,252,com,parent
1,23,204,252,com,parent
1,24,204,252,com,parent
1,25,204,252,com,parent
1,26,204,252,com,parent
1,27,204,252,com,parent
1,28,204,252,com,parent
1,29,204,252,com,parent
1,30,204,252,com,parent
1,31,204,252,com,parent
1,32,204,252,com,parent
1,33,204,252,com,parent
1,34,204,252,com,parent
1,35,204,252,com,parent
1,36,204,252,com,parent
1,37,204,252,com,parent
1,38,204,252,com,parent
1,39,204,252,com,parent
1,40,204,252,com,parent
2,41,204,252,com,parent
2,42,204,252,com,parent
2,43,204,252,com,parent
3,44,204,252,com,parent
3,45,204,252,com,parent
3,46,204,252,com,parent
3,47,204,252,com,parent
4,48,204,252,com,parent
4,49,204,252,com,parent
4,50,204,252,com,parent
5,51,204,252,com,parent
5,52,204,252,com,parent
5,53,204,252,com,parent
5,54,204,252,com,parent
6,55,204,252,com,parent
6,56,204,252,com,parent
6,57,204,252,com,parent
7,58,204,252,com,parent
7,59,204,252,com,parent
7,60,204,252,com,parent
7,61,204,252,com,parent
8,62,204,252,com,parent
8,63,204,252,com,parent
8,64,204,252,com,parent
9,65,204,252,com,parent
9,66,204,252,com,parent
9,67,204,252,com,parent
9,68,204,252,com,parent
10,69,204,252,com,parent
10,70,204,252,com,parent
10,71,204,252,com,parent
11,72,204,252,com,parent
